t:2.14, r:-25.00, omega:-27.63, omega_m:-25.00, u:-364.33, theta1:17.079, theta2:2.267, e:-2.632
t:2.15, r:-25.00, omega:-27.51, omega_m:-25.00, u:-364.44, theta1:17.076, theta2:2.271, e:-2.507
t:2.16, r:-25.00, omega:-27.51, omega_m:-25.00, u:-364.27, theta1:17.073, theta2:2.274, e:-2.507
t:2.17, r:-25.00, omega:-25.00, omega_m:-25.00, u:-369.96, theta1:17.073, theta2:2.274, e:-0.004
t:2.18, r:-25.00, omega:-25.00, omega_m:-25.00, u:-369.96, theta1:17.073, theta2:2.274, e:-0.004
t:2.19, r:-25.00, omega:-28.07, omega_m:-25.00, u:-362.78, theta1:17.069, theta2:2.278, e:-3.066
t:2.20, r:-25.00, omega:-28.07, omega_m:-25.00, u:-362.56, theta1:17.065, theta2:2.283, e:-3.066
t:2.21, r:-25.00, omega:-25.44, omega_m:-25.00, u:-368.53, theta1:17.065, theta2:2.283, e:-0.438
t:2.22, r:-25.00, omega:-25.44, omega_m:-25.00, u:-368.50, theta1:17.064, theta2:2.284, e:-0.438
t:2.23, r:-25.00, omega:-26.07, omega_m:-25.00, u:-366.99, theta1:17.063, theta2:2.285, e:-1.069
t:2.24, r:-25.00, omega:-26.07, omega_m:-25.00, u:-366.92, theta1:17.061, theta2:2.287, e:-1.069
t:2.25, r:-25.00, omega:-28.05, omega_m:-25.00, u:-362.18, theta1:17.058, theta2:2.291, e:-3.049
t:2.26, r:-25.00, omega:-28.05, omega_m:-25.00, u:-361.97, theta1:17.054, theta2:2.295, e:-3.049
t:2.27, r:-25.00, omega:-26.37, omega_m:-25.00, u:-365.73, theta1:17.052, theta2:2.297, e:-1.368
t:2.28, r:-25.00, omega:-26.37, omega_m:-25.00, u:-365.64, theta1:17.050, theta2:2.299, e:-1.368
t:2.29, r:-25.00, omega:-25.16, omega_m:-25.00, u:-368.41, theta1:17.050, theta2:2.299, e:-0.160
t:2.30, r:-25.00, omega:-25.16, omega_m:-25.00, u:-368.40, theta1:17.050, theta2:2.299, e:-0.160
t:2.31, r:-25.00, omega:-26.89, omega_m:-25.00, u:-364.31, theta1:17.048, theta2:2.302, e:-1.886
t:2.32, r:-25.00, omega:-26.89, omega_m:-25.00, u:-364.18, theta1:17.045, theta2:2.304, e:-1.886
t:2.33, r:-25.00, omega:-27.62, omega_m:-25.00, u:-362.31, theta1:17.042, theta2:2.308, e:-2.617
t:2.34, r:-25.00, omega:-27.62, omega_m:-25.00, u:-362.13, theta1:17.039, theta2:2.311, e:-2.617
t:2.35, r:-25.00, omega:-25.93, omega_m:-25.00, u:-365.97, theta1:17.038, theta2:2.313, e:-0.931
t:2.36, r:-25.00, omega:-25.93, omega_m:-25.00, u:-365.91, theta1:17.036, theta2:2.314, e:-0.931
t:2.37, r:-25.00, omega:-26.47, omega_m:-25.00, u:-364.57, theta1:17.035, theta2:2.316, e:-1.466
t:2.38, r:-25.00, omega:-26.47, omega_m:-25.00, u:-364.48, theta1:17.033, theta2:2.318, e:-1.466
t:2.39, r:-25.00, omega:-27.01, omega_m:-25.00, u:-363.08, theta1:17.030, theta2:2.320, e:-2.009
t:2.40, r:-25.00, omega:-27.01, omega_m:-25.00, u:-362.94, theta1:17.028, theta2:2.323, e:-2.009
t:2.41, r:-25.00, omega:-24.55, omega_m:-25.00, u:-368.68, theta1:17.028, theta2:2.323, e:0.449
t:2.42, r:-25.00, omega:-24.55, omega_m:-25.00, u:-368.71, theta1:17.029, theta2:2.322, e:0.449
t:2.43, r:-25.00, omega:-27.22, omega_m:-25.00, u:-362.37, theta1:17.026, theta2:2.325, e:-2.217
t:2.44, r:-25.00, omega:-27.22, omega_m:-25.00, u:-362.22, theta1:17.023, theta2:2.328, e:-2.217
